time,open,high,low,close,"NVDA, CBOE BZX: Open","NVDA, CBOE BZX: High","NVDA, CBOE BZX: Low","NVDA, CBOE BZX: Close","INTC, CBOE BZX: Open","INTC, CBOE BZX: High","INTC, CBOE BZX: Low","INTC, CBOE BZX: Close","AMD, CBOE BZX: Open","AMD, CBOE BZX: High","AMD, CBOE BZX: Low","AMD, CBOE BZX: Close","TSLA, CBOE BZX: Open","TSLA, CBOE BZX: High","TSLA, CBOE BZX: Low","TSLA, CBOE BZX: Close","MSFT, CBOE BZX: Open","MSFT, CBOE BZX: High","MSFT, CBOE BZX: Low","MSFT, CBOE BZX: Close","GOOGL, CBOE BZX: Open","GOOGL, CBOE BZX: High","GOOGL, CBOE BZX: Low","GOOGL, CBOE BZX: Close","AMZN, CBOE BZX: Open","AMZN, CBOE BZX: High","AMZN, CBOE BZX: Low","AMZN, CBOE BZX: Close","AAPL, CBOE BZX: Open","AAPL, CBOE BZX: High","AAPL, CBOE BZX: Low","AAPL, CBOE BZX: Close","FB, CBOE BZX: Open","FB, CBOE BZX: High","FB, CBOE BZX: Low","FB, CBOE BZX: Close",Volume,Volume MA
1392733800,89.93,90.4172,89.74,90.25,17.92,17.98,17.75,17.9,24.67,24.78,24.55,24.76,3.69,3.72,3.65,3.7,205.244,206,201.3601,203.7,37.63,37.78,37.41,37.42,601.287684,607.023242,600.582,606.027277,355.28,355.73,349.45,353.65,77.999922,78.74135,77.944208,77.998493,66.94,67.5397,66.07,67.3,29614391,42466898.65
1392820200,90.07,90.285,89.45,89.63,17.9,18.3,17.82,18.14,24.65,24.72,24.42,24.5,3.7,3.74,3.68,3.72,203.7,203.7,193.41,193.64,37.22,37.75,37.21,37.51,603.23457,605.196472,599.331788,601.753135,352.64,354.54,346.1,347.38,77.821351,78.127065,76.335638,76.767066,67.05,69.08,67,68.06,41775267,43234045.2
1392906600,89.7,90.22,89.31,90.05,18.18,18.815,18.15,18.78,24.54,24.85,24.5,24.74,3.72,3.75,3.66,3.69,215.01,215.21,206.27,209.97,37.57,37.87,37.395,37.75,602.153523,604.027839,600.692107,602.638993,348.8,350.46,344.38,349.8,76.141352,76.714209,75.571353,75.878496,67.73,70.11,65.727,69.63,41833212,43854434.2
1392993000,90.33,90.465,89.82,89.93,18.75,18.99,18.52,18.64,24.95,24.96,24.35,24.42,3.71,3.75,3.66,3.69,211.64,213.98,209.19,209.6,37.94,38.35,37.86,37.98,604.490788,605.521787,602.000875,602.478838,352.44,354.141,346.75,346.76,76.113167,76.367066,74.942782,75.035639,69.69,69.96,68.45,68.59,31221745,43661650.05
1393252200,90.1,90.82,90.04,90.41,18.6,19.05,18.43,18.91,24.51,24.88,24.41,24.63,3.71,3.73,3.7,3.71,208.7599,218.36,208.32,217.65,37.69,37.975,37.54,37.69,603.2646,610.671778,603.134473,606.843067,345.19,353,343.29,351.78,74.73564,75.702767,74.631354,75.36421,68.74,71.44,68.54,70.78,31517522,42020781.05
1393338600,90.52,90.72,90.02,90.31,18.8,18.88,18.54,18.74,24.67,24.71,24.46,24.62,3.73,3.735,3.66,3.69,230,259.2,228.45,248,37.61,37.85,37.35,37.54,608.559731,612.843883,605.798705,610.5917,353,361.08,351.58,358.32,75.625639,75.652067,74.428497,74.579925,70.95,71,69.45,69.85,27464711,40210192.85
1393425000,90.57,90.84,89.87,90.23,18.7,18.98,18.65,18.71,24.74,24.98,24.61,24.8,3.7,3.72,3.63,3.7,258.58,265,247.5,253,37.5801,37.74,37.19,37.47,612.59364,615.036007,607.468674,610.676782,359.86,364.75,357.17,359.8,74.801354,74.999925,73.657069,73.907069,70.19,71.22,68.85,69.26,42968334,40136631.85
1393511400,89.87,90.53,89.73,90.44,18.71,18.9,18.45,18.5,24.8,24.8,24.51,24.76,3.69,3.77,3.68,3.71,261.25,261.9,248.33,252.54,37.45,37.89,37.23,37.86,609.785919,612.711254,609.09575,610.196317,357.22,360.59,355.5,360.13,73.877069,75.539924,73.721355,75.381353,69.34,70.01,68.87,68.94,28750313,38970919.2
1393597800,90.41,90.96,89.54,90.34,18.4,18.58,18.1144,18.38,24.79,24.845,24.57,24.76,3.73,3.77,3.7,3.71,249.65,252.68,242.55,244.81,37.98,38.46,37.82,38.31,610.761865,612.688732,603.695017,608.41459,360.6,365.865,357.084,362.1,75.582782,76.107067,74.588497,75.177068,69.47,69.88,67.38,68.46,48623159,38058896.05
1393857000,89.48,89.91,88.87,89.67,17.97,18.29,17.81,18.29,24.55,24.59,24.3,24.5,3.66,3.7,3.6,3.67,237.26,251.65,234.99,250.56,37.92,38.13,37.495,37.78,603.960274,604.505802,596.648188,601.928305,358.735,360.96,354.48,359.78,74.774211,75.807067,74.687068,75.39421,66.96,68.05,66.51,67.41,38946845,37746392.55
1393943400,90.63,90.98,90.56,90.81,18.38,18.6,18.35,18.48,24.72,24.78,24.5,24.61,3.7,3.73,3.68,3.7,258.48,260,252.83,254.84,38.2,38.48,38.07,38.41,608.089275,608.58976,605.336607,608.044231,363.9,365.68,362.46,363.9,75.857067,76.091352,75.395639,75.891353,68.66,68.9,67.62,68.8,33213909,36126227.7
1394029800,90.9698,91.22,90.77,91.06,18.46,18.65,18.38,18.64,24.7,24.71,24.4,24.5,3.7,3.73,3.69,3.71,256.72,256.99,251.8,252.66,38.25,38.2699,37.93,38.11,608.114299,612.133194,606.290532,609.720856,364.13,372.728,363.9,372.37,75.845638,76.392781,75.589924,76.051353,69.69,71.97,69.62,71.57,27220604,35597197.15
1394116200,91.25,91.335,90.65,90.98,18.67,18.77,18.35,18.38,24.57,24.65,24.38,24.63,3.72,3.745,3.71,3.73,254.14,257.5,249.45,252.94,38.14,38.24,37.89,38.15,611.732806,613.66718,609.891021,610.396511,374.05,375.33,368.9,372.16,76.112781,76.348481,75.442782,75.821353,71.88,71.89,70.25,70.84,24086220,34703047.95
1394202600,91.27,91.36,90.071,90.53,18.46,18.49,18.215,18.36,24.7,24.8501,24.57,24.64,3.75,4.02,3.75,3.95,252.94,254.85,244.41,246.21,38.28,38.36,37.69,37.9,613.994998,614.087738,606.306547,607.984173,374.58,374.99,369.531,372.06,75.869924,75.997067,75.149925,75.777067,71.08,71.18,69.47,69.8,31174837,34644887.15
1394458200,90.48,90.655,90.03,90.61,18.3,18.38,18.01,18.09,24.6098,24.89,24.58,24.84,4.04,4.06,3.8,3.81,242.7,243,236.06,238.84,37.99,38.01,37.72,37.82,608.43461,609.408053,602.629034,606.372611,372.69,372.73,367,370.53,75.479925,76.189924,75.476939,75.845638,70.77,72.15,70.51,72.03,18138198,33628434.95
1394544600,90.83,91.055,89.95,90.22,18.18,18.43,18.12,18.27,24.78,24.851,24.61,24.73,3.86,4.01,3.83,3.85,236.5,244.6,232.4262,234.41,37.87,38.23,37.72,38.02,607.473678,607.748895,598.90037,600.576995,370.99,372.8,367.28,368.82,76.492781,76.96278,76.08421,76.584209,72.5,72.59,69.96,70.1,27505046,33492429.4
1394631000,89.82,90.61,89.48,90.56,18.18,18.43,18.11,18.32,24.65,24.88,24.61,24.76,3.86,3.93,3.85,3.91,231.5,247.5,231.11,241.49,37.8,38.43,37.79,38.27,598.780254,604.510807,592.669332,604.23554,366.4,371.16,363.61,370.64,76.358495,76.764209,75.999924,76.658495,69.86,71.35,69,70.8799,27997215,32958188.4
1394717400,90.9,90.93,88.87,89.28,18.36,18.43,17.65,17.74,24.8,24.995,24.43,24.57,3.94,3.99,3.84,3.86,243.79,244.19,234,237.79,38.42,38.45,37.6414,37.89,604.560856,605.837092,592.954609,595.106694,376.62,383.11,368.08,371.51,76.777066,77.094209,75.59421,75.807067,71.29,71.35,68.15,68.83,48541951,33758635.55
1394803800,88.99,89.38,88.63,88.67,17.56,17.98,17.56,17.82,24.48,24.645,24.4,24.5,3.84,3.9,3.82,3.85,235.29,236.9365,228.32,230.97,37.651,38.135,37.5058,37.7,591.568265,596.012572,586.833677,586.968808,372.8,378.568,371.55,373.74,75.541353,75.841353,74.714211,74.955639,68.49,69.43,67.46,67.72,38738769,33670931.9
1395063000,89.24,89.91,89.19,89.45,17.87,18,17.8,17.82,24.64,24.82,24.49,24.7,3.88,3.91,3.78,3.8,234.95,237.93,230.5,233.98,37.9,38.41,37.79,38.05,590.196936,599.115579,589.626383,596.628168,375.72,378.85,374.88,375.04,75.385639,75.709924,75.121353,75.248496,68.18,68.95,66.62,68.7399,28476800,33390452.4
1395149400,89.55,90.64,89.53,90.53,17.89,18.36,17.81,18.24,24.68,24.9,24.55,24.82,3.82,3.91,3.81,3.89,236.95,241.5,235.02,240.04,38.26,39.9,38.22,39.55,597.914415,606.352592,597.108634,606.217461,377.32,379,375,378.77,75.128496,75.995638,75.028511,75.91421,68.76,69.6,68.3,69.19,31250235,33472244.6
1395235800,90.56,90.66,89.45,90.04,18.38,18.91,18.33,18.555,24.85,25.25,24.7748,25.02,3.91,4,3.9,3.98,241.39,241.55,233.51,235.84,39.47,39.55,38.91,39.27,606.487723,606.582815,597.784289,600.206636,378.77,379,369.42,373.23,76.037067,76.605638,75.571353,75.89421,69.17,69.29,67.465,68.24,40869371,33426949.8
1395322200,89.78,90.56,89.58,90.29,18.46,18.73,18.38,18.57,25,25.59,24.94,25.425,3.96,4.05,3.9,4.05,236.16,239.25,233.36,234.91,39.25,40.649,39.24,40.33,600.556976,605.391611,598.25975,599.160623,370.64,373,366.22,368.97,75.698496,76.095638,75.335639,75.528496,68.01,68.23,66.82,66.97,31634538,32917016.1
1395408600,90.61,90.65,88.825,89,18.73,18.88,18.44,18.54,25.61,25.68,25.16,25.17,4.07,4.14,4.01,4.04,236.02,236.2,227.5,228.89,40.72,40.94,40.01,40.16,603.74006,605.401671,591.798488,592.093774,371,372.84,358.4,360.62,75.989924,76.249924,75.189925,76.12421,67.53,67.92,66.1786,67.24,62812715,34496564.6
1395667800,89.32,89.39,87.41,88.22,18.55,18.7,18.18,18.45,25.21,25.38,24.92,25.12,4.05,4.14,3.98,4.05,229.75,229.9,210.27,220.17,40.34,40.64,39.86,40.5,592.669332,593.024677,573.530786,579.526596,360.09,361.5,348.6,351.85,76.917066,77.214209,76.437066,77.027066,67.19,67.36,63.36,64.1,77735313,36807454.15
1395754200,88.69,89.25,87.7701,88.51,18.65,18.67,18.31,18.45,25.19,25.67,25.17,25.46,4.09,4.12,4.02,4.05,224.14,227.05,217.9,220.44,40.66,40.99,39.9599,40.34,583.56551,585.487322,574.056295,579.921979,354.03,358.97,348.84,354.71,77.357066,77.964208,77.084209,77.855636,64.89,66.19,63.78,64.89,41723335,37520385.35
1395840600,88.96,89.15,87.36,87.37,18.62,18.97,17.87,18.03,25.59,25.74,25.32,25.3772,4.08,4.1,4.02,4.05,221.95,222.6,211.3501,212.96,40.48,40.705,39.6,39.79,581.568575,586.353211,566.298777,566.534005,357.13,357.6,343.4,343.41,78.074208,78.428493,76.979923,77.111351,64.74,64.95,60.37,60.385,40930442,37418490.75
1395927000,87.27,87.64,86.4,86.879,17.99,18.14,17.585,17.79,25.36,25.75,25.29,25.31,3.99,4.07,3.87,3.91,212.37,213.6,203,207.32,39.74,39.97,39.34,39.36,565.973462,566.518991,551.584518,557.680426,343.15,343.9999,330.88,338.47,77.144923,77.357066,76.445652,76.779923,60.51,61.9,57.98,60.97,64784488,39220199.5
1396013400,87.15,88.01,86.81,87.05,17.76,18.01,17.71,17.9,25.41,25.81,25.32,25.62,3.93,3.97,3.87,3.88,212.8,216.72,210.27,212.37,39.79,40.635,39.68,40.3,560.042715,567.144597,559.427118,560.618273,340.05,347,336.08,338.29,76.90278,76.991337,76.321352,76.694209,61.34,61.95,59.335,60.01,39895065,38783794.8
1396272600,87.73,88.26,87.62,87.67,17.93,18.09,17.805,17.91,25.65,26.06,25.62,25.814,3.93,4.02,3.9,4.01,216.5,216.75,206.39,208.45,40.43,41.5,40.4,40.99,565.748244,568.050475,556.964732,557.795537,342.4,346.29,334.06,336.365,77.03278,77.258494,76.561352,76.677066,60.78,61.52,59.87,60.24,33924297,38532667.4
1396359000,88.1,89.27,87.7106,89.21,18.48,18.87,18.26,18.65,25.8,26,25.64,25.99,4.04,4.1,4.02,4.07,209.02,218.16,208.58,216.97,41.15,41.59,41.07,41.42,560.678331,569.301688,559.54223,567.995422,338.09,344.43,338,342.99,76.82278,77.409923,76.681352,77.378494,60.46,62.66,60.24,62.62,38683837,38806163.8
1396445400,89.59,89.68,89.035,89.44,18.65,18.69,18.45,18.53,25.96,26.05,25.64,25.89,4.12,4.12,4.06,4.06,220,230.89,218.05,230.29,41.44,41.66,41.17,41.35,571.503822,572.955228,562.54519,568.100523,345.99,348.295,340.38,341.96,77.48278,77.639922,77.179923,77.507065,63.21,63.91,62.21,62.72,34631615,39176714.35
1396531800,89.55,89.679,88.22,88.73,18.57,19.185,18.56,18.73,26.15,26.46,26.14,26.41,4.07,4.1,3.97,4,230.3,235.73,222,225.4,41.29,41.29,40.71,41.01,573.39,588.3,566.01,571.5,341.82,342.5,328.46,333.62,77.341351,77.499923,76.805637,76.969923,62.55,63.17,59.13,59.49,30319074,39488357.05
1396618200,89.29,89.41,86.14,86.37,18.83,18.94,18.065,18.15,26.49,26.73,26.105,26.16,4.03,4.11,3.92,4.01,226.01,228.27,211.25,212.225,41.25,41.39,39.64,39.87,578.55,579.7173,544.494,545.25,335.15,335.44,315.61,323,77.115637,77.14278,75.797067,75.97421,59.94,60.2,56.32,56.749,131213229,44490276.65
1396877400,85.84,86.63,84.951,85.55,18.16,18.56,18.06,18.21,26.3,26.74,26.2,26.485,3.98,3.99,3.83,3.88,205.81,216.2,203.51,207.52,39.96,40.27,39.74,39.8,544.79,549.85,530.53,540.63,320.99,324.94,313.13,317.76,75.431353,75.842781,74.55564,74.781354,55.9,58,55.44,56.95,83995771,47783155.3
1396963800,85.65,86.46,85.35,86.34,18.21,18.91,18.1803,18.86,26.36,26.98,26.35,26.91,3.89,4,3.83,3.99,210.05,216.4899,206.42,215.46,39.75,39.93,39.2,39.82,545.05,559.88,544.7,557.51,321.88,328,318.44,327.07,75.027068,75.159925,74.09994,74.777068,57.68,58.71,57.17,58.1901,51495650,48982685.5
1397050200,86.67,87.87,86.43,87.82,18.95,19.11,18.69,18.84,26.93,27.02,26.73,26.98,4.01,4.02,3.95,3.98,216.76,218.45,210.89,216.93,39.93,40.55,39.88,40.47,565.84,567.8,555.38,567.04,328.47,332.18,322.5,331.805,74.662782,75.78421,74.574211,75.759924,59.63,62.4558,59.1882,62.41,45685231,49867086.3
1397136600,87.87,87.88,84.86,85.1,18.76,19.02,18.32,18.38,27.01,27.09,26.36,26.425,3.97,4.01,3.84,3.85,216.82,217.5,203.7901,204.19,40.44,40.69,39.09,39.36,568,568.21,545.5,546.69,330.6,331,316.5,317.11,75.811353,76.03421,74.738497,74.782782,63.08,63.18,58.68,59.16,73659615,51122969.5
1397223000,84.34,85.44,83.91,84.11,18.24,18.52,17.88,18.12,26.27,26.59,26.17,26.1799,3.82,3.85,3.65,3.65,200.61,207,198.6,203.78,39,39.79,39,39.209,537.94,547.59,533.4,537.76,314,316.5,309.5,311.73,74.142783,74.689925,73.877069,74.229926,57.6,60.31,57.31,58.53,93657425,53868902.3
1397482200,84.85,85.22,83.99,84.77,18.24,18.39,18.12,18.32,26.31,26.65,26.14,26.56,3.72,3.78,3.65,3.71,207.6,208.44,194.41,198.09,39.11,39.41,38.9,39.18,543.66,553.02,540.52,545.2,317.67,320.48,311.28,315.91,74.557068,74.594211,73.887069,74.52564,60.09,60.45,57.78,58.89,46500747,54770099.65
